source;id;intitule;url;date_publication;date_expiration;entreprise;entreprise_url;entreprise_logo;siret;entreprise_description;site_web_entreprise;linkedin_entreprise;twitter_entreprise;facebook_entreprise;annee_creation_entreprise;chiffre_affaires_entreprise;taille_entreprise;effectif_entreprise;dirigeant_nom;dirigeant_titre;dirigeant_linkedin;contact_nom;contact_telephone;contact_email;contact_linkedin;ville;region;code_postal;pays;lien_maps;secteur;domaine;type_contrat;type_contrat_libelle;teletravail;salaire_libelle;salaire_min;salaire_max;salaire_devise;salaire_periode;experience;formation;competences;qualifications;mots_cles_recherche;description;code_naf;commune_insee;latitude;longitude;duree_travail;duree_travail_convertie;temps_plein;nombre_postes;accessibilite_emploi;salaire_complement1;salaire_complement2;salaire_commentaire;experience_commentaire;langues;permis;qualites_professionnelles;date_actualisation;partenaires_diffusion;contact_coordonnees1;contact_coordonnees2;contact_coordonnees3;contact_url_recrutement;contact_url_postuler;contact_commentaire;secteur_entreprise
France Travail;4403830;OPERATEUR COMMANDE NUMERIQUE 3/5 AXES (H/F);https://candidat.francetravail.fr/offres/recherche/detail/4403830;2026-06-30T14:34:54.000Z;;Altitude Technique La Roche sur Yon;;;;;;;;;;;;;;;;;;;;37 - Tours;;37000;;https://www.google.com/maps/search/?api=1&query=Altitude%20Technique%20La%20Roche%20sur%20Yon%2037%20-%20Tours;Activités des agences de travail temporaire;Ouvrier spécialisé;CDI;CDI;;Horaire de 12.31 Euros à 15.0 Euros;;;;;1 An(s);;;;;Nous recherchons un/une opérateur à commande numérique (H/F) spécialisé(e) dans le bois. Vous serez responsable de la production de pièces de haute précision en suivant des plans techniques, tout en garantissant la qualité et l'efficacité du processus de fabrication.  Vous aurez pour missions de :  -	Configurer et opérer les machines à commande numérique pour la découpe et l'usinage du bois.  -	Lire et interpréter les plans techniques et les dessins industriels.  -	Contrôler la qualité des pièces produites et ajuster les paramètres de la machine si nécessaire.  -	Effectuer des opérations d'entretien courant sur les machines à commande numérique.  -	Collaborer avec l'équipe de production pour optimiser les processus et résoudre les problèmes techniques.  -	Maintenir un environnement de trav;78;37261;47.365453;0.70674;"
Travail en journée";;;1;;;;Mutuelle, fastt, avantages E.U.;;;;;2026-07-02T14:38:20.000Z;TALENTPLUG http://app.mytalentplug.com/description-offre.aspx?ojid=5Q/zgw2myWOE/ObAZ5Txrw==;;;;;;;
France Travail;4252041;Opérateur - opératrice en orthoprothèses - Tours H/F;https://candidat.francetravail.fr/offres/recherche/detail/4252041;2026-06-26T01:01:58.000Z;;SAS PROTEOR;;;;"Nos patients sont notre priorité. Nous améliorons leur vie en imaginant et en développant de nouveaux dispositifs médicaux, de nouveaux composants, de nouveaux outils numériques.


Nous nous appuyons sur le plus grand réseau de centres d’orthopédie en France, un écosystème collaboratif avec des équipes d’orthoprothésistes, de médecins et d’ingénieurs du monde entier et nous ca";;;;;;;;;;;;;;;;37 - Tours;;37000;;https://www.google.com/maps/search/?api=1&query=SAS%20PROTEOR%2037%20-%20Tours;Fabrication de matériel médico-chirurgical et dentaire;;CDI;CDI;;;;;;;Débutant accepté;;;;;Au sein de notre atelier de Tours composé d’une équipe dynamique, vous participez à la fabrication et à la finition de nos appareillages orthopédiques sur mesure (corsets, orthèses, prothèses) en assurant les missions suivantes :   -  Thermoformage de plastiques,   -  Injection,   -  Découpe,   -  Ponçage et polissage,   -  Mise en forme et montage de pièces,   -  Façonnage d’esthétique.  Idéalement titulaire d’un CAP couture, sellerie, ameublement, garnissage, (ou d’autres diplômes équivalent), vous disposez d’excellentes qualités manuelles et vous avez à cœur d’effectuer un travail soigné et bien fini.   Vous êtes doté(e) d’une bonne vision spatiale, vous permettant d’être à l’aise avec la représentation de formes en 3D. Vous appréciez de travailler en équipe.   Organisé(e) et autonome, ;32;37261;47.365453;0.70674;"
Travail en journée";;;1;;;;Selon profil;;;;;2026-07-02T01:02:06.000Z;LINDUSTRIE RECRUTE https://www.lindustrie-recrute.fr/candidat/offre/813470?utm_source=NQ==;;;;;;;
France Travail;4721249;Technologue en production pharmaceutique (H/F);https://candidat.francetravail.fr/offres/recherche/detail/4721249;2026-07-09T03:21:08.000Z;;TRIANGLE 12;;;;"TRIANGLE INTERIM C'EST Un groupe en forte croissance avec de nombreux projets en cours.


Un réseau de plus de 250 agences d'emploi présent dans 8 pays en Europe.


Une entreprise familiale avec des valeurs fortes : ici, on gagne en équipe A compétences égales, chaque poste est ouvert aux personnes en situation de handicap.


Chez nous, la diversité est une force et CHAQUE candidature est étudiée ";;;;;;;;;;;;;;;;37 - Chambray-lès-Tours;;37170;;https://www.google.com/maps/search/?api=1&query=TRIANGLE%2012%2037%20-%20Chambray-l%C3%A8s-Tours;;;CDI;CDI;;Mensuel de 2000.0 Euros à 2500.0 Euros;;;;;6 An(s);;;;;Description du poste :  Rattaché au Responsable d'équipe de production du service Remplissage vous assurez les opérations suivantes, selon les règles BPF et les règles d'Hygiène, de Sécurité et d'Environnement Vos missions principales seront Assurer le remplissage de préparations stériles (ampoules, flacons)   Assurer les étapes inter-lot (nettoyage en place, stérilisation en place, préparation de ligne Effectuer les contrôles en cours et remplir le dossier de lot   Connaitre et appliquer les procédures et instructions de travail   Communiquer et alerter en cas de dérive du processus ou problème rencontré sur son poste de travail   Etre garant de la tenue du planning produit ainsi que de la qualité des lots dans le respect des procédures et des bonnes pratiques de fabrication (BPF Vous par;;37050;47.339189;0.713968;"
Travail en journée";;;1;;;;selon l'entreprise;;;;;2026-07-09T03:21:08.000Z;METEOJOB https://www.meteojob.com/jobs/55101585?utm_source=pole-emploi&utm_medium=aggregator-free;;;;;;;
France Travail;5078371;Opérateur de production H/F;https://candidat.francetravail.fr/offres/recherche/detail/5078371;2026-07-17T12:07:11.000Z;;;;;;"Pour répondre aux enjeux de notre époque, Elis place l’usage au cœur de son modèle multiservice de location-entretien. 
Nous simplifions ainsi la vie de nos clients, instaurons des relations de proximité sur le long terme et favorisons l’économie circulaire en encourageant l’entretien, la réutilisation et le recyclage. ";;;;;;;;;;;;;;;;37 - Montlouis-sur-Loire;;37270;;;;;CDI;CDI;;;;;;;Débutant accepté;;;;;Mais si vous voulez travailler main dans la main avec votre responsable de production et vos collègues, contribuer au cycle de traitement des articles textiles et participer directement à la satisfaction de nos clients, on vous attend !Car chez Elis, nos opérateurs de production sont responsables de A à Z de la qualité du linge, vêtements de travail et tapis à entretenir.Vous réceptionnez et triez les articles,Vous alimentez en linge les machines de lavage, séchage et pliage,Vous contrôlez les textiles afin d'identifier d'éventuelles anomalies,Vous conditionnez et expédiez les articles prêts à être livrés.Des missions variées, une formation au top, une équipe solidaire, ça vous tente ?Oui ? Alors c'est par ici;;37156;47.388258;0.827428;"
Travail en journée";;;1;;;;;;;;;2026-07-20T12:21:29.000Z;DIRECTEMPLOI https://www.directemploi.com/candidatOffre/55699623?utm_source=pole-emploi&utm_medium=referral&utm_campaign=Pôle-Emploi;;;;;;;
France Travail;206YTSQ;Conducteur/conductrice de ligne production alimentaire (H/F);https://candidat.francetravail.fr/offres/recherche/detail/206YTSQ;2026-04-15T14:40:34.416Z;;CARAMBELLE;http://scrapcooking.fr;;;"Carambelle, créateur et fabricant de ScrapCooking, Mirontaine, Framboiselle, L'épicerie du Chef, et Ookies, 
marques uniques qui réunissent à la fois décors alimentaires et ustensiles pour la pâtisserie";;;;;;;;;;;;CARAMBELLE - Mme Valérie LIARD;;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/206YTSQ;;37 - FONDETTES;;37230;;https://www.google.com/maps/search/?api=1&query=CARAMBELLE%2037%20-%20FONDETTES;Fabrication de produits de consommation courante en matières plastiques;Ouvrier spécialisé;CDI;CDI;;Mensuel de 1867.03 Euros à 1950.0 Euros sur 12 mois;;;;;2 An(s);CAP, BEP et équivalents;"Contrôler la conformité d'un équipement, d'une machine, d'une installation (S); Entretenir, nettoyer un espace, un lieu, un local (S); Monter et régler une installation, une machine (S); Surveiller l'approvisionnement des machines, des installations et le flux des matières ou des produits (S)";;;Pour nous accompagner dans le développement de nouveaux produits et suite à l'installation de nouvelles machines industrielles , nous recherchons un Conducteur de ligne Production Alimentaire H/F :  - régler les paramètres de la machine et des équipements - surveiller le fonctionnement et effectuer des interventions simples en cas d'incident - entretenir son poste de travail, les outils et matériels - réaliser un suivi d'activité - déterminer des actions correctives - en collaboration avec l'équipe, vous serez acteur du bon fonctionnement de la ligne : remplissage, pesage, étiquetage et conditionnement   Vous travaillerez au sein d'une équipe dans une salle tempérée. Vous êtes rigoureux(se)  Horaires : du lundi au vendredi de 8h30 à 16h30 - pas de travail le we  1 journée non travaillée pa;22;37109;47.404828;0.600035;"35H/semaine
Travail en journée";Temps plein;;1;False;Primes;Intéressement / participation;;;;;Avoir l'esprit d'équipe, Organiser son travail selon les priorités et les objectifs, Faire preuve de rigueur et de précision;2026-06-26T11:23:46.611Z;;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/206YTSQ;;;;;;
France Travail;210WDLG;Conducteur / Conductrice (Fondettes) (H/F);https://candidat.francetravail.fr/offres/recherche/detail/210WDLG;2026-07-07T11:05:40.193Z;;;;;;;;;;;;;;;;;;Agence France Travail SAINT CYR SUR LOIRE;;;;37 - Fondettes;;37230;;;Transports routiers réguliers de voyageurs;Manœuvre;CDI;CDI;;Horaire de 13.45 Euros sur 12 mois;;;;;1 Mois;;"Documents de bord d'un véhicule (S); Contrôler l'état de fonctionnement du véhicule (S); Préparer le véhicule, repérer le parcours et prévoir les aléas (S); Transporter des passagers (S)";;;Vous êtes titulaire du permis D et disposez d'une FIMO voyageurs à jour. Nous recrutons un conducteur urbain pour un poste à temps complet (ou temps partiel), à pourvoir immédiatement. - Organisation du temps de travail sur 4 ou 5 jours par semaine, avec un repos en semaine - 2 samedis travaillés maximum par mois - Prise de poste au dépôt de Fondettes - Activité urbaine Profil recherché : - Expérience souhaitée - Qualités requises : ponctualité, adaptabilité, disponibilité, sens de l'écoute  Missions : - Préparer le véhicule avant la prise de service - Repérer le parcours et anticiper les aléas de circulation - Assurer le transport des passagers sur des lignes et circuits prédéfinis, en toute sécurité;49;37109;47.404828;0.600035;"35H/semaine
Travail en journée";Temps plein;;1;;Primes;;;;;B - Véhicule léger, D - Transport de personnes;Faire preuve d'autonomie, Avoir le sens du service, Faire preuve de rigueur et de précision;2026-07-07T11:22:18.226Z;;7 RUE rue lavoisier;37540 Saint-Cyr-sur-Loire;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/210WDLG;;;;
France Travail;210WDJF;Conducteur / conductrice d'autocar ! (Tours) (H/F);https://candidat.francetravail.fr/offres/recherche/detail/210WDJF;2026-07-07T11:03:34.680Z;;;;;;;;;;;;;;;;;;Agence France Travail SAINT CYR SUR LOIRE;;;;37 - Joué-lès-Tours;;37300;;;Transports routiers réguliers de voyageurs;Employé non qualifié;CDI;CDI;;;;;;;Débutant accepté;;"Documents de bord d'un véhicule (S); Contrôler l'état de fonctionnement du véhicule (S); Préparer le véhicule, repérer le parcours et prévoir les aléas (S); Transporter des passagers (S)";;;Poste : conducteurs/conductrice en période scolaire (CPS) en CDI - Temps partiel 20h minimum avec possibilité d'évolution. Qualités requises : autonomie, sens du relationnel, sens des responsabilités, ponctualité. Missions :  Préparer le véhicule, repérer le parcours et prévoir les aléas Conduire un véhicule routier Assurer le respect des horaires de départ et d'arrivée Contrôler l'état de fonctionnement du véhicule  Si besoin, rejoignez notre prochaine session de formation qualifiante et rémunérée au permis transport en commun et devenez conducteur/conductrice d'autocar. La formation de 3 mois est prise en charge à 100% pour les demandeurs d'emploi. À la fin de la formation, rejoignez notre entreprise avec un poste en CDI.;49;37122;47.351465;0.662315;"Temps partiel - 20H/semaine
Travail en journée";Temps partiel;;1;;Primes;;13,45€/heure;;;B - Véhicule léger;Faire preuve d'autonomie, Avoir le sens du service, Faire preuve de rigueur et de précision;2026-07-07T15:03:19.957Z;;7 RUE rue lavoisier;37540 Saint-Cyr-sur-Loire;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/210WDJF;;;;
France Travail;211FGYT;CHAUFFEUR SPL (H/F);https://candidat.francetravail.fr/offres/recherche/detail/211FGYT;2026-07-15T13:11:30.724Z;;SERVICOLIS;;;;Location de vhicules avec chauffeur;;;;;;;;;;;;Agence France Travail SAINT PIERRE DES CORPS;;;;37 - ST PIERRE DES CORPS;;37700;;https://www.google.com/maps/search/?api=1&query=SERVICOLIS%2037%20-%20ST%20PIERRE%20DES%20CORPS;Location de camions avec chauffeur;Ouvrier qualifié (P1,P2);CDI;CDI;;Horaire de 12.43 Euros sur 12.0 mois;;;;;12 Mois;;;;;S.A.S SERVICOLIS recherche au départ de Tours (37) un chauffeur SPL en CDI pour effectuer des lignes de nuit ou de jour en régional/national.  Poste du lundi au vendredi  Prérequis: Titulaire du permis CE, de la FIMO/FCO à jour et de l'ADR à jour Merci de transmettre votre CV en répondant à l'annonce;49;37233;47.389983;0.718695;"48H/semaine
Travail en journée";Temps plein;;1;False;;;;;;CE - Poids lourd + remorque (= EC);;2026-07-15T16:31:02.595Z;;55 AVENUE GEORGES POMPIDOU            ;37700 Saint-Pierre-des-Corps;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/211FGYT;;;;
France Travail;210QWLV;CHAUFFEUR SPL (H/F);https://candidat.francetravail.fr/offres/recherche/detail/210QWLV;2026-07-02T12:46:41.038Z;;SERVICOLIS;;;;Location de vhicules avec chauffeur;;;;;;;;;;;;Agence France Travail SAINT PIERRE DES CORPS;;;;37 - ST PIERRE DES CORPS;;37700;;https://www.google.com/maps/search/?api=1&query=SERVICOLIS%2037%20-%20ST%20PIERRE%20DES%20CORPS;Location de camions avec chauffeur;Ouvrier qualifié (P1,P2);CDI;CDI;;Horaire de 12.43 Euros sur 12.0 mois;;;;;12 Mois;;;;;S.A.S SERVICOLIS recherche au départ de Tours (37) un chauffeur SPL en CDI pour effectuer une tournée de messagerie.  Poste du lundi au vendredi Horaire: Environ du 07h-17h30  Prérequis: Titulaire du permis CE, de la FIMO/FCO à jour et de l'ADR à jour Merci de transmettre votre CV en répondant à l'annonce;49;37233;47.389983;0.718695;"48H/semaine
Travail en journée";Temps plein;;1;False;;;;;;CE - Poids lourd + remorque (= EC);;2026-07-18T22:47:04.464Z;;55 AVENUE GEORGES POMPIDOU;37700 Saint-Pierre-des-Corps;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/210QWLV;;;;
France Travail;2653120;Conducteur de car - Contrôleur H/F;https://candidat.francetravail.fr/offres/recherche/detail/2653120;2026-05-14T16:31:51.000Z;;;;;;Transdev est un grand groupe français spécialisé dans les transports publics et la mobilité globale. Il propose divers modes de transport, pour le public, les collectivités locales, et les entreprises. Il est présent dans plusieurs pays.;;;;;;;;;;;;;;;;37 - Tours;;37000;;;;;CDI;CDI;;;;;;;Débutant accepté;;;;;Votre missionMissions de Contrôle Réseau (37 & 41)Contrôle client :Contribuer à la réduction de la fraude en  appliquant les procédures de contrôle des titres de transportContrôler les titres de transport à bord et  aux points stratégiques du réseauVerbaliser les usagers en situation irrégulière conformément à la réglementationAssurer le suivi des procès-verbaux afin de  préserver les recettes de l’entrepriseMaintenir un excellent relationnel clienten garantissant une posture professionnelle et pédagogiqueRelation clients & régulationRéguler les flux de voyageurs à bord et aux arrêtsIntervenir en cas de conflit ou incivilitdans le respect des procédures de sécuritéParticiper à l’information voyageursprésence terrain, gare routière, arrêts)Veiller à la mise à jour de l’affichage et de  l’in;;37261;47.365453;0.70674;"
Travail en journée";;;1;;;;;;;;;2026-07-17T12:06:16.000Z;DIRECTEMPLOI https://www.directemploi.com/candidatOffre/54973341?utm_source=pole-emploi&utm_medium=referral&utm_campaign=Pôle-Emploi;;;;;;;
