source;id;intitule;url;date_publication;date_expiration;entreprise;entreprise_url;entreprise_logo;siret;entreprise_description;site_web_entreprise;linkedin_entreprise;twitter_entreprise;facebook_entreprise;annee_creation_entreprise;chiffre_affaires_entreprise;taille_entreprise;effectif_entreprise;dirigeant_nom;dirigeant_titre;dirigeant_linkedin;contact_nom;contact_telephone;contact_email;contact_linkedin;ville;region;code_postal;pays;lien_maps;lien_recherche_dirigeant;secteur;domaine;type_contrat;type_contrat_libelle;teletravail;salaire_libelle;salaire_min;salaire_max;salaire_devise;salaire_periode;experience;formation;competences;qualifications;mots_cles_recherche;description;code_naf;commune_insee;latitude;longitude;duree_travail;duree_travail_convertie;temps_plein;nombre_postes;accessibilite_emploi;salaire_complement1;salaire_complement2;salaire_commentaire;experience_commentaire;langues;permis;qualites_professionnelles;date_actualisation;partenaires_diffusion;contact_coordonnees1;contact_coordonnees2;contact_coordonnees3;contact_url_recrutement;contact_url_postuler;contact_commentaire;secteur_entreprise
France Travail;210HSRW;Vendeur en boulangerie pâtisserie H/F;https://candidat.francetravail.fr/offres/recherche/detail/210HSRW;2026-06-25T11:49:27.876Z;;LES DELICES DE PARCAY;;;;;;;;;;;;;;;;Agence France Travail TOURS RONSARD;;;;PARCAY MESLAY;;37210;;https://www.google.com/maps/search/?api=1&query=LES%20DELICES%20DE%20PARCAY%20PARCAY%20MESLAY;https://www.google.com/search?q=LES%20DELICES%20DE%20PARCAY%20PARCAY%20MESLAY%20dirigeant;Boulangerie et boulangerie-pâtisserie;Employé qualifié;CDI;CDI;;Horaire de 12.53 Euros sur 12 mois;;;;;1 An(s) - en commerce/vente;;"Chaîne du froid (S); Procédures d'encaissement (S); Règles de tenue de caisse (S); Règles d'hygiène et de sécurité alimentaire (S); Entretenir un équipement, une machine, une installation (S); Entretenir, nettoyer un espace, un lieu, un local (S); Contrôler l'état de conservation d'un produit périssable (S); Retirer des produits non conformes (S); Assurer le suivi des stocks en temps réel (S); Présenter et valoriser un produit ou un service (S); Organiser, aménager un espace de vente (S); Conditionner des produits (S); Mettre en place ou rafraîchir l'étal (glace, décoration) , disposer les produits et afficher les prix (S); Réaliser l'emballage de produits frais (S); Gérer une caisse (S); Procéder à l'encaissement (S); Répondre aux attentes d'un client (S); Repect des consignes d'hygiène (S)";;;Boulangerie-pâtisserie artisanale et familiale recherche un(e) vendeur(se) à temps partiel Travail du lundi au samedi de 10H15 à 13H15, repos le mercredi   Missions : - Accueil des clients - Vente directe - Encaissement -Remise en place des produits -Nettoyage  - Fermeture du magasin    Le respect des normes d'hygiène, la ponctualité, l'assiduité, l'implication et la bonne humeur sont essentiels.  *** Etablissement mal desservi par les bus, avoir un moyen de locomotion personnel pour se rendre sur le lieu de travail ***    ;10;37179;47.441552;0.745866;"Temps partiel - 15H/semaine
Travail en journée";Temps partiel;;1;False;;;;en commerce/vente;;;Avoir l'esprit d'équipe, Organiser son travail selon les priorités et les objectifs, Avoir le sens du service;2026-07-15T16:11:02.309Z;;106 RUE RONSARD;37000 Tours;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/210HSRW;;;;
France Travail;207WPMB;1er Vendeur/Vendeuse en boulangerie (H/F) ;https://candidat.francetravail.fr/offres/recherche/detail/207WPMB;2026-05-05T14:49:16.498Z;;Boulangerie ANGE;;;;;;;;;;;;;;;;Agence France Travail TOURS RONSARD;;;;TOURS;;37000;;https://www.google.com/maps/search/?api=1&query=Boulangerie%20ANGE%20TOURS;https://www.google.com/search?q=Boulangerie%20ANGE%20TOURS%20dirigeant;Boulangerie et boulangerie-pâtisserie;Employé qualifié;CDI;CDI;;Mensuel de 2000.00 Euros sur 12 mois;;;;;4 An(s) - vente boulangerie/produits frais;;"Entretenir un équipement, une machine, une installation (S); Entretenir, nettoyer un espace, un lieu, un local (S); Présenter et valoriser un produit ou un service (S); Sens du service client (S); Aisance Relationnelle (S)";;;Et si vous deveniez un Ange, Gardien du bon ?  Réseau de plus de 300 boulangeries, nous sommes implantés en France, au Canada, à la Réunion. et d'autres pays nous tendent les bras. Notre ambition : poursuivre une croissance forte en nous appuyant sur des talents engagés, capables d'allier performance commerciale et excellence relationnelle.  Depuis 2008, le réseau ANGE s'est hissé au 2e rang de son secteur et au 1er en franchise. Et nous ne comptons pas nous arrêter là !  Notre boulangerie Ange de Chambray-lès-Tours recrute : 1er vendeur / vendeur confirmé H/F  CDI - Temps plein - Chambray-lès-Tours  Vos missions :  En véritable pilier de la relation client et relais managérial, vous contribuez activement à la performance du point de vente :  Garantir une expérience client premium : accuei;10;37261;47.365453;0.70674;"35H/semaine
Travail en journée";Temps plein;;1;False;Primes;;Selon profil et expérience;vente boulangerie/produits frais;;;Avoir l'esprit d'équipe, Faire preuve de réactivité, Avoir le sens du service;2026-07-01T16:18:23.989Z;;106 RUE RONSARD;37000 Tours;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/207WPMB;;;;
France Travail;210TTFS;Charcutier/ traiteur ou aide charcutier (H/F);https://candidat.francetravail.fr/offres/recherche/detail/210TTFS;2026-07-06T12:56:21.005Z;;SARL DUBOURG;;;;;;;;;;;;;;;;Agence France Travail SAINT PIERRE DES CORPS;;;;ST AVERTIN;;37550;;https://www.google.com/maps/search/?api=1&query=SARL%20DUBOURG%20ST%20AVERTIN;https://www.google.com/search?q=SARL%20DUBOURG%20ST%20AVERTIN%20dirigeant;Charcuterie;Employé qualifié;CDI;CDI;;;;;;;Débutant accepté - Si motivé;CAP, BEP et équivalents Charcuterie;"Gestes et postures de manutention (S); Entretenir, nettoyer un espace, un lieu, un local (S); Dresser des plats pour le service (S); Eplucher des légumes et des fruits (S); Préparer les viandes et les poissons (S)";;;Vous assurez la préparation de charcuterie et de plats préparés.  Vous serez uniquement en production et intégrez une équipe de 5 personnes. Vous travaillez du mardi au samedi de 6h30 à 12h30 + 2 après-midi par semaine.  Vous êtes motivés, respectueux des règles d'hygiène et avez un esprit d'équipe. Nous acceptons aussi profil aide charcutier, aide de cuisine pour assurer les travaux de préparation, découpe, épluchage si motivé pour travailler et donner un coup de main à l'équipe.;10;37208;47.367839;0.726918;"37H30/semaine
Travail en journée";Temps plein;;1;False;;;selon profil;Si motivé;;;;2026-07-06T12:56:21.005Z;;55 AVENUE GEORGES POMPIDOU;37700 Saint-Pierre-des-Corps;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/210TTFS;;;;
France Travail;210LRQV;Chef(fe) Pâtissier(e) (H/F);https://candidat.francetravail.fr/offres/recherche/detail/210LRQV;2026-06-29T14:17:34.699Z;;BOULANGERIE POUSSE;;;;;;;;;;;;;;;;Agence France Travail SAINT PIERRE DES CORPS;;;;VERETZ;;37270;;https://www.google.com/maps/search/?api=1&query=BOULANGERIE%20POUSSE%20VERETZ;https://www.google.com/search?q=BOULANGERIE%20POUSSE%20VERETZ%20dirigeant;Boulangerie et boulangerie-pâtisserie;Employé qualifié;CDI;CDI;;;;;;;2 An(s);CAP, BEP et équivalents;"Caractéristiques des farines levure, additifs (S); Règles d'hygiène et de sécurité alimentaire (S); Doser des ingrédients culinaires (S); Effectuer le montage et la décoration des produits pâtissiers (S)";;;Rejoignez notre équipe . Poste à pourvoir dés le mois de septembre. 2 jours de repos par semaine.  Votre mission : - Confection de pâtisserie. - Mise en place du magasin. - Entretien du laboratoire de pâtissier.  - Mise en place de la traçabilité des produits. - Confection de pates(feuilletée, brisé, tourage, ...).  Profil recherché : - Pâtissier confiseur glacier traiteur (BTM);10;37267;47.359462;0.805189;"39H/semaine
Travail les week-ends et jours fériés";Temps plein;;1;False;;;Selon profil;;;;;2026-07-15T22:47:01.609Z;;55 AVENUE GEORGES POMPIDOU;37700 Saint-Pierre-des-Corps;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/210LRQV;;;;
France Travail;210HKPL;Pâtissier / Pâtissière (H/F);https://candidat.francetravail.fr/offres/recherche/detail/210HKPL;2026-06-25T09:24:46.162Z;;LES DELICES DE PARCAY;;;;;;;;;;;;;;;;Agence France Travail TOURS RONSARD;;;;PARCAY MESLAY;;37210;;https://www.google.com/maps/search/?api=1&query=LES%20DELICES%20DE%20PARCAY%20PARCAY%20MESLAY;https://www.google.com/search?q=LES%20DELICES%20DE%20PARCAY%20PARCAY%20MESLAY%20dirigeant;Boulangerie et boulangerie-pâtisserie;Employé qualifié;CDI;CDI;;;;;;;1 An(s) - Pâtisserie;CAP, BEP et équivalents Pâtisserie;"Caractéristiques des farines levure, additifs (S); Entretenir, nettoyer un espace, un lieu, un local (S); Doser des ingrédients culinaires (S); Effectuer le montage et la décoration des produits pâtissiers (S); Respect des normes HACCP (S)";;;Description du poste :  La préparation quotidienne de pâtisseries variées (tartes, gâteaux, entremets, viennoiseries, etc.) La mise en œuvre des recettes en respectant les fiches techniques La création de nouvelles recettes en collaboration avec l'équipe L'application rigoureuse des normes d'hygiène et de sécurité alimentaire La gestion des cuissons, assemblages, et finitions des produits La gestion des stocks de matières premières et l'anticipation des commandes  Profil recherché :  Diplôme en pâtisserie (CAP ou BEP). Minimum 1 an d'expérience dans une pâtisserie artisanale ou similaire. Maîtrise des techniques classiques de pâtisserie. Sens du détail et de la présentation. Esprit créatif et passion pour la pâtisserie. Capacité à travailler en équipe dans un environnement dynamique. Rigue;10;37179;47.441552;0.745866;"35H/semaine
Travail le dimanche...";Temps plein;;1;False;;;selon expérience et profil;Pâtisserie;;;Faire preuve de rigueur et de précision, Faire preuve d'autonomie;2026-07-15T16:09:35.371Z;;106 RUE RONSARD;37000 Tours;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/210HKPL;;;;
France Travail;210FLTP;Boulanger / Boulangère H/F (H/F);https://candidat.francetravail.fr/offres/recherche/detail/210FLTP;2026-06-23T15:57:45.131Z;;MAISON NARDEUX;;;;;;;;;;;;;;;;Agence France Travail JOUE LES TOURS;;;;JOUE LES TOURS;;37300;;https://www.google.com/maps/search/?api=1&query=MAISON%20NARDEUX%20JOUE%20LES%20TOURS;https://www.google.com/search?q=MAISON%20NARDEUX%20JOUE%20LES%20TOURS%20dirigeant;Boulangerie et boulangerie-pâtisserie;Employé qualifié;CDI;CDI;;Horaire de 12.31 Euros sur 12 mois;;;;;2 An(s) - En boulangerie;CAP, BEP et équivalents Boulangerie;"Caractéristiques des farines levure, additifs (S); Bouler et effectuer la tourne ou le façonnage des pâtons (S); Maîtrise des techniques artisanales (E)";;;L'entreprise NARDEUX recherche un(e) Boulanger / Boulangère pour rejoindre ses équipes.  En tant que boulanger(ère), vous serez amené(e) à :  - Préparer et pétrir les pâtes selon les recettes et techniques artisanales - Façonner et cuire pains, viennoiseries et autres produits boulangers - Veiller à la qualité, à la fraîcheur et à la présentation des produits fabriqués - Contrôler les temps de fermentation, de cuisson et les process de fabrication - Assurer l'entretien et le nettoyage des locaux, du matériel et des équipements de travail - Gérer et suivre les approvisionnements et les stocks de matières premières - Respecter les normes d'hygiène et de sécurité alimentaire en vigueur - Communiquer et travailler en collaboration avec l'équipe de vente et de production  Conditions de travail ;10;37122;47.351465;0.662315;"35H/semaine
Travail de nuit...";Temps plein;;1;False;Primes;Intéressement / participation;;En boulangerie;;;;2026-07-16T08:53:01.058Z;;92 BOULEVARD JEAN JAURES              ;37300 Joué-lès-Tours;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/210FLTP;;;;
France Travail;209RKSM;Boulanger / Boulangère;https://candidat.francetravail.fr/offres/recherche/detail/209RKSM;2026-06-12T11:30:40.634Z;;QUINTESSENCE GAETAN ELIE;;;;;;;;;;;;;;;;Agence France Travail SAINT CYR SUR LOIRE;;;;ST ROCH;;37390;;https://www.google.com/maps/search/?api=1&query=QUINTESSENCE%20GAETAN%20ELIE%20ST%20ROCH;https://www.google.com/search?q=QUINTESSENCE%20GAETAN%20ELIE%20ST%20ROCH%20dirigeant;Boulangerie et boulangerie-pâtisserie;Ouvrier qualifié (P1,P2);CDI;CDI;;Mensuel de 1900.0 Euros à 2400.0 Euros sur 12 mois;;;;;2 An(s) - Après apprentissage;;"Caractéristiques des farines levure, additifs (S); Bouler et effectuer la tourne ou le façonnage des pâtons (S)";;;Vous travaillerez avec le gérant ( qui gère la pâtisserie) et deux apprentis. Vous devez être autonome pour la fabrication des pains et des viennoiseries. Production artisanal , sur place.  Horaires : 35h repos lundi et mardi  La semaine : 5h-12 -Le week-end 3h  pour envoi vers le marché à 6h30 et fin de la matinée vers 10h.;10;37237;47.446191;0.576718;"35H/semaine
Travail les week-ends et jours fériés...";Temps plein;;1;False;;;selon expérience;Après apprentissage;;;;2026-07-08T14:45:32.487Z;;7 RUE rue lavoisier;37540 Saint-Cyr-sur-Loire;Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/209RKSM;;;;
France Travail;4607114;Feuillette - Plongeur / Plongeuse en restauration (H/F);https://candidat.francetravail.fr/offres/recherche/detail/4607114;2026-07-06T21:20:21.000Z;;Feuillette;;;;"""​ Plus qu'une Boulangerie ! ""​  

Créée en 2009 par deux anciens pâtissiers, FEUILLETTE est une boulangerie-pâtisserie qui allie esthétisme et tradition pour fabriquer des produits originaux et de qualité.

Dès son ouverture la boulangerie FEUILLETTE se fait connaître pour son salon de thé, sa terrasse et la qualité de ses produits. Ouverte 7 jours sur 7, la boulangerie devient un incontournable ";;;;;;;;;;;;;;;;Saint-Cyr-sur-Loire;;37540;;https://www.google.com/maps/search/?api=1&query=Feuillette%20Saint-Cyr-sur-Loire;https://www.google.com/search?q=Feuillette%20Saint-Cyr-sur-Loire%20dirigeant;Boulangerie et boulangerie-pâtisserie;;CDI;CDI;;Mensuel de 1250.0 Euros à 1250.0 Euros sur 12.0 mois;;;;;Débutant accepté;;;;; Effecteur la plonge vente et production Veiller à la bonne tenue du parking Nettoyer et ranger la salle de restauration Entretenir les parties communes clients  Vous souhaitez travailler au sein d'une équipe dynamique ? Alors vous êtes peut-être le talent que nous recherchons ! Rejoignez l’aventure Feuillette, une enseigne dynamique en plein développement ! CDI – 35h hebdomadaires Lundi, mercredi,mardi, jeudi et vendredi : 12h30 - 20h 2 jours de repos samedi et dimanche Rémunération : 1250 € brut mensuel A laquelle s'ajoute :  Heures de nuit majorées à 30% jusqu'à 164€ brut Avantage en nature repas Jours fériés majorés à 100% (sous condition d'ancienneté) Indemnité blanchissage 24,27€ net pour un mois complet Prime annuelle conventionnelle entre 215€ à 525€ (sous condition d'ancienneté)  ;10;37214;47.39903;0.667465;"
Travail en journée";;;1;;;;;;;;;2026-07-06T21:20:21.000Z;DIGITALRECRUITERS https://recrutement.feuillette.fr/fr/annonce/4486213-plongeur-temps-plein-hf-37540-saint-cyr-sur-loire?s_o=France+Travail&s_b=DigitalRecruiters;;;;;;;
France Travail;4704415;Feuillette - Pâtissier / Pâtissière (H/F);https://candidat.francetravail.fr/offres/recherche/detail/4704415;2026-07-08T21:19:59.000Z;;Feuillette;;;;"""​ Plus qu'une Boulangerie ! ""​  

Créée en 2009 par deux anciens pâtissiers, FEUILLETTE est une boulangerie-pâtisserie qui allie esthétisme et tradition pour fabriquer des produits originaux et de qualité.

Dès son ouverture la boulangerie FEUILLETTE se fait connaître pour son salon de thé, sa terrasse et la qualité de ses produits. Ouverte 7 jours sur 7, la boulangerie devient un incontournable ";;;;;;;;;;;;;;;;Saint-Cyr-sur-Loire;;37540;;https://www.google.com/maps/search/?api=1&query=Feuillette%20Saint-Cyr-sur-Loire;https://www.google.com/search?q=Feuillette%20Saint-Cyr-sur-Loire%20dirigeant;Boulangerie et boulangerie-pâtisserie;;CDI;CDI;;Mensuel de 1867.0 Euros à 1867.0 Euros sur 12.0 mois;;;;;2 An(s);;;;; Sélectionner des matières premières de qualité afin de garantir des produits gourmands et raffinés. Réaliser avec précision les préparations sucrées Soigner la présentation et la finition des produits : l’esthétique reflète le savoir-faire et l’exigence de la maison Feuillette. Maintenir un niveau d’hygiène irréprochable en appliquant les règles HACCP.  Mais aussi :  Participer à la mise en place et au réassort des produits en boutique. Assurer la relance des produits tout au long de la journée. Respecter la rotation des matières premières.  Vous êtes avant tout passionné par votre métier et amoureux des bons produits, curieux des nouvelles tendances de consommation et vous aimez le travail soigné. Vous partagez nos valeurs humaines et êtes à l’écoute de vos collègues et de vos managers p;10;37214;47.39903;0.667465;"
Travail en journée";;;1;;;;;;;;;2026-07-08T21:19:59.000Z;DIGITALRECRUITERS https://recrutement.feuillette.fr/fr/annonce/4490499-patissier-hf-temps-partiel-week-ends-37540-saint-cyr-sur-loire?s_o=France+Travail&s_b=DigitalRecruiters;;;;;;;
France Travail;3922203;Feuillette - Chef pâtissier / Cheffe pâtissière (H/F);https://candidat.francetravail.fr/offres/recherche/detail/3922203;2026-06-17T21:21:12.000Z;;;;;;""" Plus qu'une Boulangerie ! "" Créée en 2009 par deux anciens pâtissiers, FEUILLETTE est une boulangerie-pâtisserie qui allie esthétisme et tradition pour fabriquer des produits originaux et de qualité. Dès son ouverture la boulangerie FEUILLETTE se fait connaître pour son salon de thé, sa terrasse et la qualité de ses produits. Ouverte 7 jours sur 7, la boulangerie devient un incontournable dans l";;;;;;;;;;;;;;;;Saint-Cyr-sur-Loire;;37540;;;;Boulangerie et boulangerie-pâtisserie;;CDI;CDI;;Mensuel de 1944.41 Euros à 2120.35 Euros sur 12.0 mois;;;;;2 An(s);;;;;Superviser la production au quotidien : dans le respect des fiches techniques et de l’exigence Feuillette. Organiser avec précision : commandes et matériel sont gérés avec rigueur pour garantir un fonctionnement optimal. Encadrer avec proximité : accompagner les équipes, transmettre l’excellence du métier et créer une dynamique de confiance et d’engagement. Garantir une qualité constante : veiller à chaque détail et faire appliquer strictement les normes d’hygiène et de sécurité. Mais aussi : Assurer la communication quotidienne avec les équipes de vente Participer à la formation des collaborateurs Planifier et suivre les objectifs de production Adapter la production en fonction des besoins et valoriser les produits en boutique Homme/Femme de terrain, vous êtes avant tout passionné par vot;10;37214;47.39903;0.667465;"
Travail en journée";;;1;;;;;;;;;2026-06-17T21:21:12.000Z;DIGITALRECRUITERS https://recrutement.feuillette.fr/fr/annonce/4453689-chef-patissier-hf-37540-saint-cyr-sur-loire?s_o=France+Travail&s_b=DigitalRecruiters;;;;;;;
