source;id;intitule;entreprise;entreprise_url;ville;region;code_postal;secteur;domaine;type_contrat;teletravail;salaire_libelle;salaire_min;salaire_max;experience;formation;competences;taille_entreprise;effectif_entreprise;date_publication;description;url;entreprise_recherchee;nb_offres_entreprise
HelloWork;63172990;Responsable Commercial - Chef d'Agence H/F;La Maison des Travaux;https://www.hellowork.com/fr-fr/entreprises/la-maison-des-travaux-65542.html;Chinon;Centre-Val de Loire;37500;;;Indépendant;;45 000 - 75 000 € / an;45000;75000;1 an;;;;;2026-06-25;Détail du poste Vous êtes passionné(e) par l'univers de l'habitat, vous avez l'esprit entrepreneurial et aimez créer des relations uniques avec vos clients ? Rejoignez La Maison Des Travaux et nos experts sur le terrain ! En tant que Responsable d'Agence - Courtier en travaux, vous faciliterez des projets passionnants d'aménagement de l'habitat en coordonnant un réseau de professionnels du bâtiment (artisans, architectes, bureaux d'étude...) pour répondre aux besoins de vos clients. Vous les accompagnerez dans leurs projets de rénovation, décoration ou agrandissement en utilisant des outils innovants (3D/2D, réalité augmentée) pour simplifier leurs démarches et les aider à se projeter. Dans un contexte où l'amélioration de notre cadre de vie est plus que jamais essentiel, nous vous offrons;https://www.hellowork.com/fr-fr/emplois/63172990.html;MAISONS CONCEPT;6
HelloWork;63173090;Responsable Commercial - Chef d'Agence H/F;La Maison des Travaux;https://www.hellowork.com/fr-fr/entreprises/la-maison-des-travaux-65542.html;Loches;Centre-Val de Loire;37600;;;Indépendant;;45 000 - 75 000 € / an;45000;75000;1 an;;;;;2026-06-25;Détail du poste Vous êtes passionné(e) par l'univers de l'habitat, vous avez l'esprit entrepreneurial et aimez créer des relations uniques avec vos clients ? Rejoignez La Maison Des Travaux et nos experts sur le terrain ! En tant que Responsable d'Agence - Courtier en travaux, vous faciliterez des projets passionnants d'aménagement de l'habitat en coordonnant un réseau de professionnels du bâtiment (artisans, architectes, bureaux d'étude...) pour répondre aux besoins de vos clients. Vous les accompagnerez dans leurs projets de rénovation, décoration ou agrandissement en utilisant des outils innovants (3D/2D, réalité augmentée) pour simplifier leurs démarches et les aider à se projeter. Dans un contexte où l'amélioration de notre cadre de vie est plus que jamais essentiel, nous vous offrons;https://www.hellowork.com/fr-fr/emplois/63173090.html;MAISONS CONCEPT;6
HelloWork;63172881;Responsable Commercial - Chef d'Agence H/F;La Maison des Travaux;https://www.hellowork.com/fr-fr/entreprises/la-maison-des-travaux-65542.html;Saint-Pierre-des-Corps;Centre-Val de Loire;37700;;;Indépendant;;45 000 - 75 000 € / an;45000;75000;1 an;;;;;2026-06-25;Détail du poste Vous êtes passionné(e) par l'univers de l'habitat, vous avez l'esprit entrepreneurial et aimez créer des relations uniques avec vos clients ? Rejoignez La Maison Des Travaux et nos experts sur le terrain ! En tant que Responsable d'Agence - Courtier en travaux, vous faciliterez des projets passionnants d'aménagement de l'habitat en coordonnant un réseau de professionnels du bâtiment (artisans, architectes, bureaux d'étude...) pour répondre aux besoins de vos clients. Vous les accompagnerez dans leurs projets de rénovation, décoration ou agrandissement en utilisant des outils innovants (3D/2D, réalité augmentée) pour simplifier leurs démarches et les aider à se projeter. Dans un contexte où l'amélioration de notre cadre de vie est plus que jamais essentiel, nous vous offrons;https://www.hellowork.com/fr-fr/emplois/63172881.html;MAISONS CONCEPT;6
HelloWork;81254780;Auxiliaire de Puériculture H/F;La Maison Bleue;https://www.hellowork.com/fr-fr/entreprises/la-maison-bleue-40752.html;France;Languedoc-Roussillon;;;;CDI;;1 960 - 2 060 € / mois;1960;2060;Sans expérience requise;high school;;;;2026-07-13;Les missions du poste La Maison Bleue est un acteur de référence de la Petite Enfance, depuis 2004. Nous concevons et gérons des crèches en France et en Europe, en offrant un accueil bienveillant et stimulant aux enfants et à leurs familles. Chez nous, chaque collaborateur contribue à faire grandir les enfants et à soutenir les familles. Nous rejoindre, c'est s'engager dans un métier utile, au sein d'équipes passionnées. Ensemble, donnons aux tout-petits les clés pour s'épanouir aujourd'hui et dessiner demain. En tant qu'Auxiliaire de Puériculture, vous devez : Offrir aux enfants les meilleures conditions d'accueil et d'accompagnement. Prodiguer des soins quotidiens, individualisés, réfléchis, en tenant compte des besoins spécifiques de chaque enfant et des concepts du référentiel Pédagogi;https://www.hellowork.com/fr-fr/emplois/81254780.html;MAISONS CONCEPT;6
HelloWork;81060476;Auxiliaire de Puériculture H/F;La Maison Bleue;https://www.hellowork.com/fr-fr/entreprises/la-maison-bleue-40752.html;France;Languedoc-Roussillon;;;;CDI;;;;;Sans expérience requise;high school;;;;2026-07-07;Les missions du poste La Maison Bleue est un acteur de référence de la Petite Enfance, depuis 2004. Nous concevons et gérons des crèches en France et en Europe, en offrant un accueil bienveillant et stimulant aux enfants et à leurs familles. Chez nous, chaque collaborateur contribue à faire grandir les enfants et à soutenir les familles. Nous rejoindre, c'est s'engager dans un métier utile, au sein d'équipes passionnées. Ensemble, donnons aux tout-petits les clés pour s'épanouir aujourd'hui et dessiner demain. En tant qu'Auxiliaire de Puericulture, vous devez: * Offrir aux enfants les meilleures conditions d'accueil et d'accompagnement * Prodiguer des soins quotidiens, individualisés, réfléchis, en tenant compte des besoins spécifiques de chaque enfant et des concepts du référentiel Pédaog;https://www.hellowork.com/fr-fr/emplois/81060476.html;MAISONS CONCEPT;6
HelloWork;80732147;Auxiliaire de Puériculture H/F;La Maison Bleue;https://www.hellowork.com/fr-fr/entreprises/la-maison-bleue-40752.html;France;Languedoc-Roussillon;;;;CDI;;1 960 - 2 060 € / mois;1960;2060;Sans expérience requise;high school;;;;2026-06-29;Les missions du poste La Maison Bleue est un acteur de référence de la Petite Enfance, depuis 2004. Nous concevons et gérons des crèches en France et en Europe, en offrant un accueil bienveillant et stimulant aux enfants et à leurs familles. Chez nous, chaque collaborateur contribue à faire grandir les enfants et à soutenir les familles. Nous rejoindre, c'est s'engager dans un métier utile, au sein d'équipes passionnées. Ensemble, donnons aux tout-petits les clés pour s'épanouir aujourd'hui et dessiner demain. En tant qu'Auxiliaire de Puériculture, vous devez: * Offrir aux enfants les meilleures conditions d'accueil et d'accompagnement * Prodiguer des soins quotidiens, individualisés, réfléchis, en tenant compte des besoins spécifiques de chaque enfant et des concepts du référentiel Pédago;https://www.hellowork.com/fr-fr/emplois/80732147.html;MAISONS CONCEPT;6
HelloWork;78782790;Chef de Chantier Second Oeuvre Centre-Val de Loire H/F;Bouygues Construction;https://www.hellowork.com/fr-fr/entreprises/bouygues-construction-holding-10087.html;Tours;Centre-Val de Loire;37000;;;CDI;;;;;1 an;;;;;2026-07-07;Les missions du poste Chez Bouygues Bâtiment Centre Sud-Ouest, filiale du Groupe Bouygues Construction, nous sommes plus de 600 collaborateurs tous animés par une même ambition : bâtir pour la vie. Implantés dans quatre régions, Centre-Val de Loire, Nouvelle-Aquitaine, Occitanie et en Outre-Mer, nous améliorons le quotidien de millions de personnes en construisant ou en réhabilitant des bâtiments qui servent la vie et répondent à tous les besoins : habiter, éduquer, soigner, apprendre, travailler, se divertir. Face à notre développement en Centre-Val de Loire, nous recherchons notre futur(e) Chef(fe) de Chantier pour intervenir pendant la phase Second Oeuvre de projets de construction neuve. Les projets pourront varier (logements, bureaux, ouvrages fonctionnels, industriels) ainsi que la l;https://www.hellowork.com/fr-fr/emplois/78782790.html;VAL BTP;4
HelloWork;75709779;Responsable Travaux Confirmé·e Centre-Val de Loire H/F;Bouygues Construction;https://www.hellowork.com/fr-fr/entreprises/bouygues-construction-holding-10087.html;Tours;Centre-Val de Loire;37000;;;CDI;;;;;7 ans;associate degree;;;;2026-06-15;Les missions du poste Chez Bouygues Bâtiment Centre Sud-Ouest, filiale du Groupe Bouygues Construction, nous sommes plus de 600 collaborateurs tous animés par une même ambition : bâtir pour la vie. Implantés dans quatre régions, Centre-Val de Loire, Nouvelle-Aquitaine, Occitanie et en Outre-Mer, nous améliorons le quotidien de millions de personnes en construisant ou en réhabilitant des bâtiments qui servent la vie et répondent à tous les besoins : habiter, éduquer, soigner, apprendre, travailler, se divertir. Dans le cadre de notre fort développement en Centre-Val de Loire et Poitou, nous recherchons notre futur(e) Responsable Travaux confirmé(e) pour prendre la responsabilité d'une ou plusieurs opérations de construction neuve ou de réhabilitation (entre 8 et 15M€). Selon le profil et la;https://www.hellowork.com/fr-fr/emplois/75709779.html;VAL BTP;4
HelloWork;71775950;Conducteur·trice Travaux Corps d'Etats Techniques Centre-Val de Loire H/F;Bouygues Construction;https://www.hellowork.com/fr-fr/entreprises/bouygues-construction-holding-10087.html;Tours;Centre-Val de Loire;37000;;;CDI;;;;;1 an;associate degree;;;;2026-06-25;Les missions du poste Chez Bouygues Bâtiment Centre Sud-Ouest, filiale du Groupe Bouygues Construction, nous sommes plus de 600 collaborateurs tous animés par une même ambition : bâtir pour la vie. Implantés dans quatre régions, Centre-Val de Loire, Nouvelle-Aquitaine, Occitanie et en Outre-Mer, nous améliorons le quotidien de millions de personnes en construisant ou en réhabilitant des bâtiments qui servent la vie et répondent à tous les besoins : habiter, éduquer, soigner, apprendre, travailler, se divertir. Nous recherchons notre futur(e) Conducteur-trice Travaux Corps d'Etats Techniques, pour développer la réalisation de lots techniques (CVC et électricité) sur nos projets en région Centre-Val de Loire. Votre mission principale consistera à développer la réalisation des lots techniques;https://www.hellowork.com/fr-fr/emplois/71775950.html;VAL BTP;4
HelloWork;79924143;Chef de Chantier Gc - Centre-Val de Loire H/F;PROJECTTECH ENGINEERING;https://www.hellowork.com/fr-fr/entreprises/projecttech-engineering-179681.html;Centre-Val de Loire;Centre-Val de Loire;;;;CDI;;35 700 - 50 000 € / an;35700;50000;1 an;;;;;2026-07-09;Détail du poste Dans le cadre de projets d'aménagement et de développement d'infrastructures d'électricité publique (éclairage public, réseaux d'alimentation, équipements urbains, enfouissement de réseaux, signalisation lumineuse), nous recherchons un Chef de Chantier Génie Civil expérimenté pour piloter les travaux VRD sur le terrain. Le candidat intervient comme référent chantier et assure la coordination des équipes, des sous-traitants et des différents intervenants afin de garantir la bonne exécution des travaux dans le respect des exigences de qualité, sécurité, coûts et délais. Responsabilités principales - Préparer, organiser et piloter les travaux de génie civil et VRD liés aux infrastructures d'électricité publique. - Encadrer les équipes travaux et coordonner les sous-traitants s;https://www.hellowork.com/fr-fr/emplois/79924143.html;VAL BTP;4
